JURIS_NAME,YEAR,total_proposed_units,total_approved_units,total_disapproved_units,total_building_permits,total_completed_units,total_affordable_permits,total_market_rate_permits
ADELANTO,2018,0.0,0.0,0.0,27.0,0.0,0.0,27.0
ADELANTO,2019,0.0,0.0,0.0,63.0,0.0,0.0,63.0
ADELANTO,2022,125.0,0.0,0.0,29.0,0.0,0.0,29.0
ADELANTO,2023,0.0,0.0,0.0,81.0,0.0,0.0,81.0
ADELANTO,2024,0.0,0.0,0.0,24.0,21.0,0.0,24.0
ADELANTO,2025,380.0,327.0,0.0,40.0,32.0,13.0,27.0
AGOURA HILLS,2018,0.0,0.0,0.0,27.0,23.0,0.0,27.0
AGOURA HILLS,2019,13.0,9.0,0.0,12.0,6.0,0.0,12.0
AGOURA HILLS,2020,321.0,4.0,35.0,3.0,0.0,0.0,3.0
AGOURA HILLS,2021,16.0,13.0,0.0,8.0,5.0,5.0,3.0
AGOURA HILLS,2022,93.0,15.0,0.0,26.0,7.0,15.0,11.0
AGOURA HILLS,2023,144.0,28.0,0.0,51.0,24.0,23.0,28.0
AGOURA HILLS,2024,678.0,320.0,0.0,59.0,39.0,27.0,32.0
AGOURA HILLS,2025,751.0,614.0,0.0,344.0,36.0,66.0,278.0
ALAMEDA,2018,161.0,161.0,0.0,181.0,39.0,1.0,180.0
ALAMEDA,2019,738.0,738.0,0.0,681.0,0.0,83.0,598.0
ALAMEDA,2020,372.0,665.0,0.0,298.0,113.0,156.0,142.0
ALAMEDA,2021,96.0,0.0,0.0,605.0,34.0,69.0,536.0
ALAMEDA,2022,431.0,431.0,0.0,243.0,35.0,104.0,139.0
ALAMEDA,2023,161.0,161.0,0.0,1096.0,964.0,194.0,902.0
ALAMEDA,2024,80.0,80.0,0.0,355.0,96.0,228.0,127.0
ALAMEDA,2025,108.0,143.0,0.0,65.0,236.0,47.0,18.0
ALAMEDA COUNTY,2018,244.0,19.0,1.0,119.0,68.0,11.0,108.0
ALAMEDA COUNTY,2019,158.0,79.0,0.0,89.0,83.0,26.0,63.0
ALAMEDA COUNTY,2020,9.0,3.0,0.0,63.0,105.0,44.0,19.0
ALAMEDA COUNTY,2021,183.0,140.0,0.0,75.0,102.0,47.0,28.0
ALAMEDA COUNTY,2022,161.0,161.0,0.0,106.0,19.0,75.0,31.0
ALAMEDA COUNTY,2023,62.0,47.0,0.0,376.0,56.0,299.0,77.0
ALAMEDA COUNTY,2024,606.0,34.0,0.0,255.0,55.0,123.0,132.0
ALAMEDA COUNTY,2025,48.0,8.0,0.0,406.0,303.0,260.0,146.0
ALBANY,2018,42.0,30.0,0.0,17.0,3.0,17.0,0.0
ALBANY,2019,100.0,100.0,0.0,31.0,9.0,24.0,7.0
ALBANY,2020,34.0,34.0,0.0,36.0,10.0,25.0,11.0
ALBANY,2021,538.0,534.0,1.0,19.0,0.0,19.0,0.0
ALBANY,2022,122.0,34.0,0.0,97.0,14.0,97.0,0.0
ALBANY,2023,24.0,19.0,0.0,11.0,17.0,11.0,0.0
ALBANY,2024,19.0,18.0,0.0,12.0,10.0,12.0,0.0
ALBANY,2025,24.0,0.0,0.0,228.0,89.0,38.0,190.0
ALHAMBRA,2018,144.0,60.0,0.0,34.0,25.0,2.0,32.0
ALHAMBRA,2019,97.0,97.0,0.0,127.0,0.0,0.0,127.0
ALHAMBRA,2020,37.0,0.0,0.0,11.0,26.0,0.0,11.0
ALHAMBRA,2021,123.0,105.0,0.0,216.0,75.0,2.0,214.0
ALHAMBRA,2022,298.0,110.0,0.0,162.0,144.0,0.0,162.0
ALHAMBRA,2023,180.0,4.0,0.0,217.0,82.0,44.0,173.0
ALHAMBRA,2024,363.0,73.0,0.0,168.0,204.0,2.0,166.0
ALHAMBRA,2025,274.0,99.0,0.0,137.0,120.0,2.0,135.0
ALISO VIEJO,2019,0.0,0.0,0.0,0.0,200.0,0.0,0.0
ALISO VIEJO,2023,343.0,0.0,0.0,0.0,0.0,0.0,0.0
ALISO VIEJO,2024,44.0,0.0,0.0,1.0,0.0,1.0,0.0
ALISO VIEJO,2025,61.0,0.0,0.0,2.0,1.0,0.0,2.0
ALPINE COUNTY,2018,5.0,5.0,0.0,1.0,1.0,1.0,0.0
ALPINE COUNTY,2019,5.0,5.0,0.0,5.0,3.0,2.0,3.0
ALPINE COUNTY,2020,5.0,5.0,0.0,7.0,4.0,2.0,5.0
ALPINE COUNTY,2021,15.0,0.0,0.0,14.0,1.0,0.0,14.0
ALPINE COUNTY,2023,9.0,0.0,0.0,10.0,5.0,0.0,10.0
ALPINE COUNTY,2024,4.0,1.0,0.0,4.0,6.0,0.0,4.0
ALPINE COUNTY,2025,9.0,0.0,0.0,4.0,7.0,0.0,4.0
ALTURAS,2019,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ALTURAS,2020,3.0,3.0,0.0,3.0,3.0,2.0,1.0
ALTURAS,2021,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ALTURAS,2025,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AMADOR,2023,0.0,0.0,0.0,1.0,0.0,0.0,1.0
AMADOR,2024,0.0,0.0,0.0,1.0,0.0,0.0,1.0
AMADOR,2025,0.0,0.0,0.0,2.0,2.0,0.0,2.0
AMADOR COUNTY,2018,35.0,34.0,1.0,34.0,9.0,27.0,7.0
AMADOR COUNTY,2019,27.0,0.0,27.0,28.0,0.0,14.0,14.0
AMADOR COUNTY,2020,32.0,0.0,0.0,32.0,0.0,16.0,16.0
AMADOR COUNTY,2021,44.0,0.0,0.0,44.0,44.0,27.0,17.0
AMADOR COUNTY,2022,65.0,0.0,0.0,65.0,65.0,30.0,35.0
AMADOR COUNTY,2023,48.0,48.0,0.0,49.0,49.0,27.0,22.0
AMADOR COUNTY,2024,37.0,37.0,0.0,39.0,39.0,18.0,21.0
AMADOR COUNTY,2025,100.0,0.0,0.0,100.0,100.0,60.0,40.0
AMERICAN CANYON,2018,1260.0,1260.0,0.0,162.0,0.0,19.0,143.0
AMERICAN CANYON,2019,4.0,4.0,0.0,1.0,72.0,1.0,0.0
AMERICAN CANYON,2020,295.0,4.0,0.0,5.0,2.0,5.0,0.0
AMERICAN CANYON,2021,362.0,362.0,0.0,353.0,162.0,209.0,144.0
AMERICAN CANYON,2022,772.0,6.0,0.0,348.0,4.0,260.0,88.0
AMERICAN CANYON,2023,105.0,5.0,0.0,85.0,124.0,7.0,78.0
AMERICAN CANYON,2024,167.0,167.0,0.0,548.0,363.0,289.0,259.0
AMERICAN CANYON,2025,107.0,104.0,0.0,162.0,78.0,12.0,150.0
ANAHEIM,2018,1121.0,13.0,0.0,949.0,1757.0,5.0,944.0
ANAHEIM,2019,843.0,843.0,0.0,2130.0,1211.0,55.0,2075.0
ANAHEIM,2020,6099.0,5974.0,58.0,1232.0,748.0,228.0,1004.0
ANAHEIM,2021,840.0,840.0,0.0,702.0,77.0,35.0,667.0
ANAHEIM,2022,676.0,676.0,0.0,1238.0,682.0,355.0,883.0
ANAHEIM,2023,826.0,826.0,0.0,1680.0,822.0,431.0,1249.0
ANAHEIM,2024,948.0,432.0,504.0,1406.0,477.0,658.0,748.0
ANAHEIM,2025,1339.0,969.0,0.0,1411.0,1114.0,461.0,950.0
ANDERSON,2018,29.0,29.0,0.0,29.0,18.0,2.0,27.0
ANDERSON,2019,26.0,25.0,1.0,35.0,20.0,1.0,34.0
ANDERSON,2020,3.0,0.0,0.0,20.0,0.0,0.0,20.0
ANDERSON,2021,8.0,8.0,0.0,14.0,0.0,0.0,14.0
ANDERSON,2022,37.0,37.0,0.0,37.0,21.0,0.0,37.0
ANDERSON,2023,21.0,21.0,0.0,21.0,21.0,0.0,21.0
ANDERSON,2024,14.0,0.0,0.0,14.0,14.0,0.0,14.0
ANDERSON,2025,11.0,11.0,0.0,11.0,11.0,0.0,11.0
ANGELS CAMP,2018,8.0,0.0,0.0,23.0,8.0,2.0,21.0
ANGELS CAMP,2019,0.0,0.0,0.0,7.0,0.0,5.0,2.0
ANGELS CAMP,2020,137.0,107.0,0.0,0.0,0.0,0.0,0.0
ANGELS CAMP,2021,137.0,107.0,0.0,0.0,0.0,0.0,0.0
ANGELS CAMP,2022,0.0,0.0,0.0,4.0,4.0,0.0,4.0
ANGELS CAMP,2023,0.0,0.0,0.0,7.0,3.0,1.0,6.0
ANGELS CAMP,2024,0.0,0.0,0.0,5.0,5.0,0.0,5.0
ANGELS CAMP,2025,0.0,0.0,0.0,3.0,3.0,0.0,3.0
ANTIOCH,2018,397.0,2.0,0.0,121.0,135.0,2.0,119.0
ANTIOCH,2019,434.0,0.0,0.0,293.0,136.0,14.0,279.0
ANTIOCH,2020,467.0,0.0,0.0,714.0,272.0,406.0,308.0
ANTIOCH,2021,440.0,0.0,0.0,596.0,367.0,32.0,564.0
ANTIOCH,2022,74.0,0.0,0.0,365.0,859.0,0.0,365.0
ANTIOCH,2023,1361.0,0.0,0.0,384.0,315.0,33.0,351.0
ANTIOCH,2024,272.0,0.0,0.0,356.0,432.0,41.0,315.0
ANTIOCH,2025,2893.0,1295.0,0.0,175.0,198.0,44.0,131.0
APPLE VALLEY,2018,0.0,0.0,0.0,0.0,129.0,0.0,0.0
APPLE VALLEY,2020,6.0,6.0,0.0,194.0,194.0,194.0,0.0
APPLE VALLEY,2021,17.0,17.0,0.0,302.0,110.0,302.0,0.0
APPLE VALLEY,2022,47.0,18.0,0.0,110.0,40.0,110.0,0.0
APPLE VALLEY,2023,221.0,0.0,0.0,85.0,18.0,37.0,48.0
APPLE VALLEY,2024,65.0,0.0,0.0,96.0,0.0,18.0,78.0
ARCADIA,2018,64.0,28.0,0.0,69.0,113.0,0.0,69.0
ARCADIA,2019,31.0,31.0,0.0,98.0,1.0,0.0,98.0
ARCADIA,2020,111.0,40.0,0.0,96.0,134.0,0.0,96.0
ARCADIA,2021,864.0,76.0,0.0,100.0,101.0,0.0,100.0
ARCADIA,2022,358.0,4.0,0.0,131.0,62.0,0.0,131.0
ARCADIA,2023,538.0,26.0,0.0,123.0,50.0,0.0,123.0
ARCADIA,2024,219.0,95.0,0.0,437.0,109.0,26.0,411.0
ARCADIA,2025,470.0,130.0,0.0,155.0,119.0,0.0,155.0
ARCATA,2018,76.0,76.0,0.0,76.0,8.0,40.0,36.0
ARCATA,2019,24.0,24.0,0.0,25.0,39.0,16.0,9.0
ARCATA,2020,62.0,62.0,0.0,70.0,19.0,60.0,10.0
ARCATA,2021,54.0,54.0,0.0,54.0,8.0,40.0,14.0
ARCATA,2022,175.0,175.0,0.0,175.0,172.0,155.0,20.0
ARCATA,2023,159.0,159.0,0.0,159.0,109.0,118.0,41.0
ARCATA,2024,22.0,22.0,0.0,22.0,54.0,12.0,10.0
ARCATA,2025,53.0,53.0,0.0,53.0,19.0,11.0,42.0
ARROYO GRANDE,2018,57.0,16.0,0.0,35.0,53.0,13.0,22.0
ARROYO GRANDE,2019,5.0,0.0,5.0,69.0,24.0,20.0,49.0
ARROYO GRANDE,2020,22.0,1.0,0.0,54.0,83.0,0.0,54.0
ARROYO GRANDE,2021,92.0,92.0,0.0,14.0,25.0,0.0,14.0
ARROYO GRANDE,2022,18.0,18.0,0.0,17.0,18.0,13.0,4.0
ARROYO GRANDE,2023,26.0,26.0,0.0,32.0,16.0,17.0,15.0
ARROYO GRANDE,2024,35.0,0.0,0.0,95.0,23.0,88.0,7.0
ARROYO GRANDE,2025,121.0,29.0,0.0,16.0,22.0,15.0,1.0
ARTESIA,2018,8.0,8.0,0.0,19.0,19.0,0.0,19.0
ARTESIA,2019,26.0,26.0,0.0,11.0,2.0,0.0,11.0
ARTESIA,2020,19.0,19.0,0.0,8.0,0.0,0.0,8.0
ARTESIA,2021,16.0,0.0,0.0,16.0,4.0,0.0,16.0
ARTESIA,2022,25.0,25.0,0.0,15.0,0.0,0.0,15.0
ARTESIA,2024,13.0,0.0,0.0,85.0,53.0,21.0,64.0
ARTESIA,2025,90.0,0.0,0.0,50.0,11.0,11.0,39.0
ARVIN,2018,95.0,95.0,0.0,102.0,78.0,102.0,0.0
ARVIN,2019,68.0,68.0,0.0,111.0,67.0,111.0,0.0
ARVIN,2020,0.0,0.0,0.0,3.0,21.0,1.0,2.0
ARVIN,2021,0.0,0.0,0.0,47.0,62.0,47.0,0.0
ARVIN,2022,0.0,0.0,0.0,35.0,0.0,34.0,1.0
ARVIN,2023,0.0,0.0,0.0,50.0,0.0,34.0,16.0
ARVIN,2024,0.0,0.0,0.0,33.0,0.0,0.0,33.0
ARVIN,2025,6.0,6.0,0.0,6.0,0.0,5.0,1.0
ATASCADERO,2018,56.0,0.0,0.0,19.0,124.0,7.0,12.0
ATASCADERO,2019,57.0,0.0,57.0,69.0,27.0,5.0,64.0
ATASCADERO,2020,67.0,0.0,0.0,45.0,36.0,9.0,36.0
ATASCADERO,2021,210.0,210.0,0.0,136.0,47.0,70.0,66.0
ATASCADERO,2022,75.0,16.0,0.0,53.0,85.0,40.0,13.0
ATASCADERO,2023,168.0,93.0,0.0,115.0,7.0,107.0,8.0
ATASCADERO,2024,113.0,52.0,0.0,118.0,30.0,40.0,78.0
ATASCADERO,2025,78.0,1.0,0.0,88.0,114.0,72.0,16.0
ATHERTON,2018,0.0,0.0,0.0,34.0,21.0,6.0,28.0
ATHERTON,2019,0.0,0.0,0.0,29.0,0.0,10.0,19.0
ATHERTON,2020,0.0,0.0,0.0,59.0,29.0,34.0,25.0
ATHERTON,2021,0.0,0.0,0.0,62.0,31.0,32.0,30.0
ATHERTON,2022,41.0,36.0,0.0,51.0,41.0,15.0,36.0
ATHERTON,2023,91.0,81.0,0.0,111.0,57.0,20.0,91.0
ATHERTON,2024,85.0,85.0,0.0,109.0,44.0,62.0,47.0
ATHERTON,2025,110.0,111.0,0.0,60.0,3.0,18.0,42.0
ATWATER,2018,117.0,117.0,0.0,16.0,56.0,0.0,16.0
ATWATER,2019,9.0,0.0,9.0,9.0,0.0,0.0,9.0
ATWATER,2020,54.0,54.0,0.0,54.0,0.0,0.0,54.0
ATWATER,2021,0.0,0.0,0.0,59.0,0.0,0.0,59.0
ATWATER,2022,0.0,0.0,0.0,0.0,29.0,0.0,0.0
ATWATER,2023,25.0,25.0,0.0,7.0,7.0,0.0,7.0
ATWATER,2024,73.0,73.0,0.0,10.0,10.0,0.0,10.0
ATWATER,2025,0.0,0.0,0.0,10.0,0.0,0.0,10.0
AUBURN,2018,0.0,0.0,0.0,33.0,35.0,7.0,26.0
AUBURN,2019,57.0,0.0,0.0,45.0,42.0,10.0,35.0
AUBURN,2020,64.0,8.0,0.0,66.0,55.0,14.0,52.0
AUBURN,2021,64.0,8.0,0.0,80.0,71.0,16.0,64.0
AUBURN,2022,64.0,8.0,0.0,84.0,76.0,16.0,68.0
AUBURN,2023,56.0,0.0,0.0,122.0,106.0,29.0,93.0
AUBURN,2024,56.0,0.0,0.0,142.0,131.0,36.0,106.0
AUBURN,2025,56.0,0.0,0.0,164.0,152.0,38.0,126.0
AVALON,2018,2.0,0.0,2.0,2.0,2.0,0.0,2.0
AVALON,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVALON,2020,0.0,0.0,0.0,4.0,0.0,0.0,4.0
AVALON,2022,0.0,0.0,0.0,5.0,1.0,0.0,5.0
AVALON,2023,0.0,0.0,0.0,4.0,0.0,0.0,4.0
AVALON,2024,36.0,0.0,0.0,0.0,4.0,0.0,0.0
AVALON,2025,6.0,6.0,0.0,7.0,5.0,0.0,7.0
AVENAL,2018,52.0,52.0,0.0,52.0,4.0,52.0,0.0
AVENAL,2019,17.0,17.0,0.0,17.0,9.0,17.0,0.0
AVENAL,2022,23.0,0.0,0.0,23.0,13.0,23.0,0.0
AVENAL,2023,31.0,31.0,0.0,11.0,11.0,11.0,0.0
AVENAL,2024,0.0,0.0,0.0,1.0,10.0,0.0,1.0
AVENAL,2025,10.0,0.0,0.0,5.0,0.0,0.0,5.0
AZUSA,2018,343.0,306.0,0.0,189.0,189.0,189.0,0.0
AZUSA,2019,37.0,29.0,0.0,179.0,2.0,0.0,179.0
AZUSA,2020,42.0,34.0,0.0,21.0,2.0,0.0,21.0
AZUSA,2021,88.0,77.0,0.0,32.0,0.0,23.0,9.0
AZUSA,2023,138.0,0.0,0.0,62.0,195.0,0.0,62.0
AZUSA,2024,91.0,66.0,1.0,89.0,172.0,0.0,89.0
BAKERSFIELD,2018,1646.0,1646.0,0.0,1180.0,504.0,2.0,1178.0
BAKERSFIELD,2019,1692.0,995.0,0.0,1692.0,1218.0,19.0,1673.0
BAKERSFIELD,2020,1555.0,1555.0,0.0,1457.0,501.0,239.0,1218.0
BAKERSFIELD,2021,1247.0,27.0,0.0,2521.0,1900.0,158.0,2363.0
BAKERSFIELD,2022,1488.0,0.0,0.0,1196.0,635.0,50.0,1146.0
BAKERSFIELD,2023,1573.0,1573.0,0.0,2227.0,1212.0,450.0,1777.0
BAKERSFIELD,2024,2578.0,0.0,0.0,1776.0,1784.0,88.0,1688.0
BAKERSFIELD,2025,2957.0,1224.0,0.0,2125.0,1644.0,205.0,1920.0
BALDWIN PARK,2018,40.0,44.0,0.0,88.0,28.0,1.0,87.0
BALDWIN PARK,2019,50.0,50.0,0.0,20.0,12.0,0.0,20.0
BALDWIN PARK,2020,31.0,31.0,0.0,16.0,23.0,0.0,16.0
BALDWIN PARK,2021,168.0,0.0,0.0,75.0,0.0,0.0,75.0
BALDWIN PARK,2022,179.0,0.0,0.0,76.0,76.0,0.0,76.0
BALDWIN PARK,2023,76.0,0.0,0.0,174.0,89.0,0.0,174.0
BALDWIN PARK,2024,104.0,76.0,0.0,174.0,48.0,51.0,123.0
BALDWIN PARK,2025,79.0,79.0,0.0,137.0,90.0,40.0,97.0
BANNING,2018,186.0,186.0,0.0,1.0,0.0,0.0,1.0
BANNING,2019,578.0,578.0,0.0,9.0,3.0,0.0,9.0
BANNING,2023,181.0,181.0,0.0,279.0,116.0,0.0,279.0
BARSTOW,2019,0.0,0.0,0.0,0.0,2.0,0.0,0.0
BARSTOW,2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0
BARSTOW,2021,5.0,5.0,0.0,0.0,0.0,0.0,0.0
BARSTOW,2022,6.0,6.0,0.0,0.0,0.0,0.0,0.0
BARSTOW,2023,52.0,0.0,0.0,9.0,2.0,0.0,9.0
BARSTOW,2024,1.0,0.0,0.0,1.0,3.0,0.0,1.0
BARSTOW,2025,10.0,10.0,0.0,5.0,3.0,0.0,5.0
BEAUMONT,2018,0.0,0.0,0.0,343.0,698.0,0.0,343.0
BEAUMONT,2019,0.0,0.0,0.0,431.0,427.0,0.0,431.0
BEAUMONT,2020,13.0,7.0,0.0,307.0,310.0,1.0,306.0
BEAUMONT,2021,12.0,11.0,0.0,224.0,110.0,0.0,224.0
BEAUMONT,2022,245.0,238.0,2.0,768.0,769.0,0.0,768.0
BEAUMONT,2023,58.0,58.0,0.0,588.0,0.0,0.0,588.0
BEAUMONT,2024,84.0,18.0,0.0,538.0,534.0,0.0,538.0
BEAUMONT,2025,617.0,6.0,0.0,132.0,215.0,0.0,132.0
BELL,2019,20.0,0.0,20.0,12.0,0.0,0.0,12.0
BELL,2020,30.0,0.0,0.0,0.0,0.0,0.0,0.0
BELL,2021,60.0,0.0,0.0,8.0,0.0,8.0,0.0
BELL,2022,25.0,0.0,0.0,0.0,21.0,0.0,0.0
BELL,2023,32.0,32.0,0.0,19.0,0.0,0.0,19.0
BELL,2024,57.0,0.0,0.0,0.0,16.0,0.0,0.0
BELL,2025,102.0,37.0,0.0,28.0,0.0,22.0,6.0
BELL GARDENS,2018,72.0,72.0,0.0,53.0,8.0,4.0,49.0
BELL GARDENS,2019,24.0,24.0,0.0,7.0,0.0,0.0,7.0
BELL GARDENS,2020,32.0,0.0,0.0,10.0,3.0,0.0,10.0
BELL GARDENS,2021,80.0,0.0,0.0,78.0,52.0,0.0,78.0
BELL GARDENS,2022,65.0,13.0,0.0,40.0,16.0,0.0,40.0
BELL GARDENS,2023,78.0,0.0,0.0,59.0,33.0,0.0,59.0
BELL GARDENS,2024,182.0,0.0,0.0,41.0,42.0,0.0,41.0
BELL GARDENS,2025,83.0,0.0,0.0,26.0,12.0,0.0,26.0
BELLFLOWER,2018,69.0,12.0,0.0,49.0,2.0,0.0,49.0
BELLFLOWER,2019,22.0,22.0,0.0,29.0,3.0,0.0,29.0
BELLFLOWER,2020,200.0,200.0,0.0,54.0,14.0,0.0,54.0
BELLFLOWER,2021,123.0,123.0,0.0,186.0,40.0,0.0,186.0
BELLFLOWER,2022,61.0,30.0,0.0,82.0,40.0,0.0,82.0
BELLFLOWER,2023,162.0,162.0,0.0,17.0,1.0,0.0,17.0
BELLFLOWER,2024,134.0,64.0,0.0,72.0,72.0,0.0,72.0
BELLFLOWER,2025,128.0,128.0,0.0,86.0,86.0,0.0,86.0
BELMONT,2018,381.0,0.0,381.0,15.0,4.0,9.0,6.0
BELMONT,2019,417.0,339.0,78.0,12.0,13.0,12.0,0.0
BELMONT,2020,19.0,19.0,0.0,86.0,43.0,77.0,9.0
BELMONT,2021,210.0,210.0,0.0,268.0,9.0,50.0,218.0
BELMONT,2022,6.0,6.0,0.0,491.0,9.0,106.0,385.0
BELMONT,2023,226.0,14.0,0.0,25.0,20.0,19.0,6.0
BELMONT,2024,91.0,14.0,0.0,197.0,464.0,194.0,3.0
BELMONT,2025,71.0,0.0,0.0,66.0,24.0,59.0,7.0
BELVEDERE,2018,2.0,0.0,0.0,0.0,0.0,0.0,0.0
BELVEDERE,2019,3.0,3.0,0.0,2.0,0.0,1.0,1.0
BELVEDERE,2020,3.0,3.0,0.0,2.0,2.0,2.0,0.0
BELVEDERE,2021,5.0,5.0,0.0,2.0,2.0,2.0,0.0
BELVEDERE,2022,32.0,10.0,0.0,5.0,1.0,5.0,0.0
BELVEDERE,2023,14.0,9.0,0.0,12.0,5.0,11.0,1.0
BELVEDERE,2024,10.0,13.0,0.0,4.0,1.0,2.0,2.0
BELVEDERE,2025,17.0,19.0,0.0,28.0,6.0,26.0,2.0
BENICIA,2018,3.0,3.0,0.0,4.0,0.0,3.0,1.0
BENICIA,2019,13.0,13.0,0.0,4.0,0.0,3.0,1.0
BENICIA,2020,8.0,0.0,0.0,8.0,4.0,5.0,3.0
BENICIA,2021,5.0,0.0,0.0,11.0,2.0,9.0,2.0
BENICIA,2022,146.0,143.0,0.0,5.0,10.0,5.0,0.0
BENICIA,2023,17.0,8.0,0.0,11.0,5.0,1.0,10.0
BENICIA,2024,1089.0,0.0,0.0,17.0,13.0,0.0,17.0
BENICIA,2025,20.0,7.0,0.0,7.0,3.0,6.0,1.0
BERKELEY,2018,509.0,206.0,0.0,380.0,229.0,4.0,376.0
BERKELEY,2019,1204.0,803.0,0.0,363.0,313.0,13.0,350.0
BERKELEY,2020,348.0,175.0,0.0,766.0,405.0,186.0,580.0
BERKELEY,2021,773.0,629.0,0.0,506.0,331.0,56.0,450.0
BERKELEY,2022,1329.0,474.0,0.0,887.0,828.0,146.0,741.0
BERKELEY,2023,2224.0,2224.0,0.0,432.0,716.0,146.0,286.0
BERKELEY,2024,3832.0,1235.0,0.0,734.0,708.0,146.0,588.0
BERKELEY,2025,749.0,471.0,0.0,463.0,492.0,256.0,207.0
BEVERLY HILLS,2018,150.0,150.0,0.0,14.0,0.0,5.0,9.0
BEVERLY HILLS,2019,125.0,65.0,0.0,88.0,0.0,5.0,83.0
BEVERLY HILLS,2020,425.0,0.0,0.0,8.0,5.0,3.0,5.0
BEVERLY HILLS,2021,154.0,25.0,0.0,53.0,0.0,15.0,38.0
BEVERLY HILLS,2022,164.0,31.0,0.0,77.0,0.0,0.0,77.0
BEVERLY HILLS,2023,320.0,13.0,0.0,64.0,20.0,20.0,44.0
BEVERLY HILLS,2024,1044.0,37.0,0.0,102.0,75.0,17.0,85.0
BEVERLY HILLS,2025,1380.0,615.0,0.0,68.0,32.0,17.0,51.0
BIG BEAR LAKE,2018,39.0,39.0,0.0,36.0,2.0,7.0,29.0
BIG BEAR LAKE,2019,69.0,69.0,0.0,66.0,26.0,10.0,56.0
BIG BEAR LAKE,2020,94.0,94.0,0.0,91.0,61.0,12.0,79.0
BIG BEAR LAKE,2021,131.0,131.0,0.0,129.0,87.0,14.0,115.0
BIG BEAR LAKE,2022,164.0,164.0,0.0,33.0,21.0,0.0,33.0
BIG BEAR LAKE,2023,23.0,0.0,0.0,0.0,44.0,0.0,0.0
BIG BEAR LAKE,2024,27.0,0.0,0.0,26.0,74.0,0.0,26.0
BIG BEAR LAKE,2025,44.0,0.0,0.0,55.0,108.0,0.0,55.0
BIGGS,2018,0.0,0.0,0.0,0.0,3.0,0.0,0.0
BIGGS,2019,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BIGGS,2022,13.0,0.0,0.0,0.0,0.0,0.0,0.0
BISHOP,2018,1.0,1.0,0.0,1.0,0.0,0.0,1.0
BISHOP,2019,23.0,23.0,0.0,13.0,5.0,9.0,4.0
BISHOP,2020,17.0,17.0,0.0,11.0,14.0,10.0,1.0
BISHOP,2021,10.0,8.0,0.0,13.0,7.0,11.0,2.0
BISHOP,2022,22.0,18.0,0.0,24.0,10.0,16.0,8.0
BISHOP,2023,2.0,0.0,0.0,17.0,17.0,16.0,1.0
BISHOP,2024,19.0,19.0,0.0,44.0,23.0,28.0,16.0
BISHOP,2025,0.0,0.0,0.0,47.0,25.0,26.0,21.0
BLUE LAKE,2019,2.0,2.0,0.0,2.0,0.0,1.0,1.0
BLUE LAKE,2020,2.0,2.0,0.0,2.0,0.0,1.0,1.0
BLUE LAKE,2022,2.0,0.0,0.0,2.0,2.0,0.0,2.0
BLUE LAKE,2023,3.0,3.0,0.0,4.0,0.0,0.0,4.0
BLUE LAKE,2024,3.0,0.0,0.0,3.0,0.0,0.0,3.0
BLUE LAKE,2025,3.0,3.0,0.0,3.0,2.0,0.0,3.0
BLYTHE,2018,5.0,5.0,0.0,5.0,7.0,5.0,0.0
BLYTHE,2019,4.0,4.0,0.0,6.0,5.0,6.0,0.0
BLYTHE,2020,3.0,3.0,0.0,3.0,2.0,3.0,0.0
BLYTHE,2021,3.0,2.0,0.0,8.0,3.0,8.0,0.0
BLYTHE,2022,4.0,4.0,0.0,2.0,1.0,0.0,2.0
BLYTHE,2023,6.0,6.0,0.0,1.0,4.0,1.0,0.0
BLYTHE,2024,0.0,0.0,0.0,4.0,1.0,0.0,4.0
BLYTHE,2025,1.0,1.0,0.0,0.0,7.0,0.0,0.0
BRADBURY,2020,75.0,43.0,32.0,19.0,0.0,0.0,19.0
BRADBURY,2021,2.0,0.0,0.0,1.0,0.0,0.0,1.0
BRADBURY,2022,2.0,2.0,0.0,4.0,2.0,0.0,4.0
BRADBURY,2023,2.0,2.0,0.0,5.0,2.0,0.0,5.0
BRADBURY,2024,7.0,7.0,0.0,10.0,3.0,0.0,10.0
BRADBURY,2025,26.0,8.0,0.0,14.0,5.0,0.0,14.0
BRAWLEY,2018,79.0,79.0,0.0,92.0,92.0,63.0,29.0
BRAWLEY,2019,17.0,17.0,0.0,111.0,111.0,109.0,2.0
BRAWLEY,2020,206.0,178.0,0.0,125.0,125.0,125.0,0.0
BRAWLEY,2021,1.0,0.0,0.0,235.0,235.0,118.0,117.0
BRAWLEY,2022,18.0,13.0,0.0,13.0,0.0,2.0,11.0
BRAWLEY,2023,16.0,15.0,0.0,54.0,0.0,43.0,11.0
BRAWLEY,2024,31.0,0.0,0.0,28.0,0.0,5.0,23.0
BRAWLEY,2025,83.0,67.0,0.0,66.0,62.0,64.0,2.0
BREA,2018,0.0,0.0,0.0,329.0,266.0,0.0,329.0
BREA,2019,430.0,0.0,0.0,715.0,192.0,20.0,695.0
BREA,2020,1305.0,6.0,0.0,20.0,56.0,0.0,20.0
